name,summary,pattern
/qpanda/bind_data,Quantum bind classical data to qvec,Data Encoding
/qpanda/bind_nonnegative_data,Quantum bind classical nonnegative integer,Data Encoding
/qpanda/amplitude_encode,b_need_check_normalization,Data Encoding
/qpanda/iterative_amplitude_estimation,estimate the probability corresponding to the ground state |1> of the last bit,Quantum Amplitude Estimation
/qpanda/QFT,Build QFT quantum circuit\n,Basis Change
/qpanda/QPE,control_qubits,Quantum Phase Estimation (QPE)
/qpanda/Grover,Classical_condition,Grover
/qpanda/Grover_search,Grover_search,Grover
/qpanda/quantum_walk_alg,Classical_condition,Grover
/qpanda/quantum_walk_search,quantum_walk_search,Grover
/qpanda/Shor_factorization,Use Shor factorize integer num\n,Grover
/qpanda/QITE,quantum imaginary time evolution,Hamiltonian Simulation
/qpanda/AnsatzGate,ansatz gate struct,Variational Quantum Algorithm (VQA)
/qpanda/Ansatz,quantum ansatz class,Variational Quantum Algorithm (VQA)
/qpanda/expMat,Calculate the matrix power of e.\n,Hamiltonian Simulation
/qpanda/QOperator,quantum operator class,Hamiltonian Simulation
/qpanda/VQG_I_batch,variational quantum I batch gates,Variational Quantum Algorithm (VQA)
/qpanda/VQG_H_batch,variational quantum H batch gates,Variational Quantum Algorithm (VQA)
/qpanda/VQG_T_batch,variational quantum T batch gates,Variational Quantum Algorithm (VQA)
/qpanda/VQG_S_batch,variational quantum S batch gates,Variational Quantum Algorithm (VQA)
/qpanda/VQG_X_batch,variational quantum X batch gates,Variational Quantum Algorithm (VQA)
/qpanda/VQG_Y_batch,variational quantum Y batch gates,Variational Quantum Algorithm (VQA)
/qpanda/VQG_Z_batch,variational quantum Z batch gates,Variational Quantum Algorithm (VQA)
/qpanda/VQG_X1_batch,variational quantum X1 batch gates,Variational Quantum Algorithm (VQA)
/qpanda/VQG_Y1_batch,variational quantum Y1 batch gates,Variational Quantum Algorithm (VQA)
/qpanda/VQG_Z1_batch,variational quantum Z1 batch gates,Variational Quantum Algorithm (VQA)
/qpanda/VQG_U1_batch,variational quantum U1 batch gates,Variational Quantum Algorithm (VQA)
/qpanda/VQG_U2_batch,variational quantum U2 batch gates,Variational Quantum Algorithm (VQA)
/qpanda/VQG_U3_batch,variational quantum U3 batch gates,Variational Quantum Algorithm (VQA)
/qpanda/VQG_U4_batch,variational quantum U4 batch gates,Variational Quantum Algorithm (VQA)
/qpanda/VQG_CU_batch,variational quantum CU batch gates,Variational Quantum Algorithm (VQA)
/qpanda/VQG_CZ_batch,variational quantum CZ batch gates,Variational Quantum Algorithm (VQA)
/qpanda/VQG_CNOT_batch,variational quantum CNOT batch gates,Variational Quantum Algorithm (VQA)
/qpanda/VQG_SWAP_batch,variational quantum SWAP batch gates,Variational Quantum Algorithm (VQA)
/qpanda/VQG_iSWAP_batch,variational quantum iSWAP batch gates,Variational Quantum Algorithm (VQA)
