name,summary,pattern
/pennylane/pennylane.templates.embeddings.amplitude.AmplitudeEmbedding,Encodes :math:`2^n` features into the amplitude vector of :math:`n` qubits.,Data Encoding
/pennylane/pennylane.templates.embeddings.angle.AngleEmbedding,"Encodes :math:`N` features into the rotation angles of :math:`n` qubits, where :math:`N \leq n`.",Data Encoding
/pennylane/pennylane.templates.embeddings.basis.BasisEmbedding,Encodes :math:`n` binary features into a basis state of :math:`n` qubits.,Data Encoding
/pennylane/pennylane.templates.embeddings.displacement.DisplacementEmbedding,"Encodes :math:`N` features into the displacement amplitudes :math:`r` or phases :math:`\phi` of :math:`M` modes, where :math:`N\leq M`.",Data Encoding
/pennylane/pennylane.templates.embeddings.iqp.IQPEmbedding,Encodes :math:`n` features into :math:`n` qubits using diagonal gates of an IQP circuit.,Data Encoding
/pennylane/pennylane.templates.embeddings.qaoaembedding.QAOAEmbedding,"Encodes :math:`N` features into :math:`n>N` qubits, using a layered, trainable quantum circuit that is inspired by the QAOA ansatz proposed by `Killoran et al. (2020) <https://arxiv.org/abs/2001.03622>`_.",Quantum Approximate Optimization Algorithm (QAOA)
/pennylane/pennylane.templates.embeddings.squeezing.SqueezingEmbedding,"Encodes :math:`N` features into the squeezing amplitudes :math:`r \geq 0` or phases :math:`\phi \in [0, 2\pi)` of :math:`M` modes, where :math:`N\leq M`.",Data Encoding
/pennylane/pennylane.templates.layers.basic_entangler.BasicEntanglerLayers,"Layers consisting of one-parameter single-qubit rotations on each qubit, followed by a closed chain or *ring* of CNOT gates.",Variational Quantum Algorithm (VQA)
/pennylane/pennylane.templates.layers.cv_neural_net.CVNeuralNetLayers,"A sequence of layers of a continuous-variable quantum neural network, as specified in `Killoran et al. (2019) <https://doi.org/10.1103/PhysRevResearch.1.033063>`_.",Quantum Neural Network (QNN)
/pennylane/pennylane.templates.layers.gate_fabric.GateFabric,"Implements a local, expressive, and quantum-number-preserving ansatz proposed by `Anselmetti et al. (2021) <https://doi.org/10.1088/1367-2630/ac2cb3>`_.",Variational Quantum Algorithm (VQA)
/pennylane/pennylane.templates.layers.particle_conserving_u1.ParticleConservingU1,"Implements the heuristic VQE ansatz for quantum chemistry simulations using the particle-conserving gate :math:`U_{1,\mathrm{ex}}` proposed by Barkoutsos *et al.* in `arXiv:1805.04340 <https://arxiv.org/abs/1805.04340>`_.",Variational Quantum Eigensolver (VQE)
/pennylane/pennylane.templates.layers.particle_conserving_u2.ParticleConservingU2,"Implements the heuristic VQE ansatz for Quantum Chemistry simulations using the particle-conserving entangler :math:`U_\mathrm{ent}(\vec{\theta}, \vec{\phi})` proposed in `arXiv:1805.04340 <https://arxiv.org/abs/1805.04340>`__.",Variational Quantum Eigensolver (VQE)
/pennylane/pennylane.templates.layers.random.RandomLayers,"Layers of randomly chosen single qubit rotations and 2-qubit entangling gates, acting on randomly chosen qubits.",Variational Quantum Algorithm (VQA)
