file_path;concept_name;pattern;match_type;matched_text;similarity_score;first_line
documentation/source/general/tutorial/BE_tutorial/BE_vol1.py;/pennylane/pennylane.templates.subroutines.fable.FABLE;Linear Combination of Unitaries;title;BlockEncoding class 101: Block encoding, LCU, resource estimation In classical computer science, we often perform operations directly on matrices, suc...;0.7566;0
documentation/source/general/tutorial/BE_tutorial/BE_vol1.py;pattern:Linear Combination of Unitaries;Linear Combination of Unitaries;pattern_desc;!/usr/bin/env python coding: utf-8 BlockEncoding class 101: Block encoding, LCU, resource estimation In classical computer science, we often perform o...;0.7355;0
documentation/source/general/tutorial/BE_tutorial/BE_vol1.py;kw_comment:Linear Combination of Unitaries;Linear Combination of Unitaries;keyword_comment;block encoding, block-encoding, lcu, qsp, quantum signal processing;0.6250;0
documentation/source/general/tutorial/BE_tutorial/BE_vol1.py;kw_name:Linear Combination of Unitaries;Linear Combination of Unitaries;keyword_name;BlockEncoding;1.0000;167
documentation/source/general/tutorial/BE_tutorial/BE_vol2.py;kw_comment:Linear Combination of Unitaries;Linear Combination of Unitaries;keyword_comment;block encoding, block-encoding, gqsp, lcu, qsp, qsvt, quantum signal processing,;0.9900;0
documentation/source/general/tutorial/BE_tutorial/BE_vol2.py;kw_comment:Quantum Phase Estimation (QPE);Quantum Phase Estimation (QPE);keyword_comment;phase estimation, qpe, quantum phase estimation;0.5000;0
documentation/source/general/tutorial/BE_tutorial/BE_vol2.py;/pennylane/pennylane.templates.subroutines.qubitization.Qubitization;Hamiltonian Simulation;name;qubitization;1.0000;63
documentation/source/general/tutorial/BE_tutorial/BE_vol2.py;kw_name:Linear Combination of Unitaries;Linear Combination of Unitaries;keyword_name;from_lcu;1.0000;591
documentation/source/general/tutorial/BigInteger.py;/classiq/open_library.functions.qft_functions.qft;Basis Change;name;QFT;1.0000;161
documentation/source/general/tutorial/BigInteger.py;/pennylane/pennylane.templates.subroutines.qft.QFT;Basis Change;name;QFT;1.0000;161
documentation/source/general/tutorial/BigInteger.py;/qiskit/qiskit.circuit.library.basis_change.qft.QFT;Basis Change;name;QFT;1.0000;161
documentation/source/general/tutorial/BigInteger.py;kw_name:Basis Change;Basis Change;keyword_name;QFT;1.0000;161
documentation/source/general/tutorial/BigInteger.py;caller:Quantum Phase Estimation (QPE);Quantum Phase Estimation (QPE);caller;shor_ops_kernel() calls QFT();1.0000;254
documentation/source/general/tutorial/FT_compilation.py;/classiq/open_library.functions.qft_functions.qft;Basis Change;name;QFT;1.0000;281
documentation/source/general/tutorial/FT_compilation.py;/pennylane/pennylane.templates.subroutines.qft.QFT;Basis Change;name;QFT;1.0000;281
documentation/source/general/tutorial/FT_compilation.py;/qiskit/qiskit.circuit.library.basis_change.qft.QFT;Basis Change;name;QFT;1.0000;281
documentation/source/general/tutorial/FT_compilation.py;kw_name:Basis Change;Basis Change;keyword_name;QFT;1.0000;281
documentation/source/general/tutorial/GQSP_filtering.py;kw_comment:Linear Combination of Unitaries;Linear Combination of Unitaries;keyword_comment;block-encoding, gqsp, lcu, qsp, quantum signal processing;0.6250;0
documentation/source/general/tutorial/GQSP_filtering.py;/pennylane/pennylane.templates.subroutines.reflection.Reflection;Amplitude Amplification;name;reflection;1.0000;369
documentation/source/general/tutorial/GQSP_filtering.py;/classiq/open_library.functions.qsvt.gqsp;Linear Combination of Unitaries;name;GQSP;1.0000;379
documentation/source/general/tutorial/GQSP_filtering.py;/pennylane/pennylane.templates.subroutines.gqsp.GQSP;Linear Combination of Unitaries;name;GQSP;1.0000;379
documentation/source/general/tutorial/GQSP_filtering.py;kw_name:Linear Combination of Unitaries;Linear Combination of Unitaries;keyword_name;GQSP;1.0000;379
documentation/source/general/tutorial/H2.py;pattern:Hamiltonian Simulation;Hamiltonian Simulation;pattern_desc;!/usr/bin/env python coding: utf-8 Simulating the dynamics of the \$H_2\$ molecule $$ \def\CC{\bf C} \def\QQ{\bf Q} \def\RR{\bf R} \def\ZZ{\bf Z} \def...;0.6599;0
documentation/source/general/tutorial/H2.py;kw_name:Hamiltonian Simulation;Hamiltonian Simulation;keyword_name;trotterization;1.0000;222
documentation/source/general/tutorial/H2.py;kw_name:Initialization;Initialization;keyword_name;state_prep;1.0000;242
