name,summary,pattern
qrisp.IQAE,IQAE: Qrisp implementation of the Quantum Amplitude Estimation pattern.,Quantum Amplitude Estimation
qrisp.IQPE,IQPE: Qrisp implementation of the Quantum Phase Estimation (QPE) pattern.,Quantum Phase Estimation (QPE)
qrisp.LCU,LCU: Qrisp implementation of the Linear Combination of Unitaries pattern.,Linear Combination of Unitaries
qrisp.PauliGate,PauliGate: Qrisp implementation of the Circuit Construction Utility pattern.,Circuit Construction Utility
qrisp.Permutation,Permutation: Qrisp implementation of the Circuit Construction Utility pattern.,Circuit Construction Utility
qrisp.PhaseEstimation,PhaseEstimation: Qrisp implementation of the Quantum Phase Estimation (QPE) pattern.,Quantum Phase Estimation (QPE)
qrisp.QAE,QAE: Qrisp implementation of the Quantum Amplitude Estimation pattern.,Quantum Amplitude Estimation
qrisp.QAOAProblem,QAOAProblem: Qrisp implementation of the Quantum Approximate Optimization Algorithm (QAOA) pattern.,Quantum Approximate Optimization Algorithm (QAOA)
qrisp.QFT,QFT: Qrisp implementation of the Basis Change pattern.,Basis Change
qrisp.QFT_inner,QFT_inner: Qrisp implementation of the Basis Change pattern.,Basis Change
qrisp.QPE,QPE: Qrisp implementation of the Quantum Phase Estimation (QPE) pattern.,Quantum Phase Estimation (QPE)
qrisp.QUBO_obj,QUBO_obj: Qrisp implementation of the Quantum Approximate Optimization Algorithm (QAOA) pattern.,Quantum Approximate Optimization Algorithm (QAOA)
qrisp.QUBO_problem,QUBO_problem: Qrisp implementation of the Quantum Approximate Optimization Algorithm (QAOA) pattern.,Quantum Approximate Optimization Algorithm (QAOA)
qrisp.QuantumColor,QuantumColor: Qrisp implementation of the Quantum Approximate Optimization Algorithm (QAOA) pattern.,Quantum Approximate Optimization Algorithm (QAOA)
qrisp.StatePreparation,StatePreparation: Qrisp implementation of the Initialization pattern.,Initialization
qrisp.VQEProblem,VQEProblem: Qrisp implementation of the Variational Quantum Eigensolver (VQE) pattern.,Variational Quantum Eigensolver (VQE)
qrisp.amplitude_amplification,amplitude_amplification: Qrisp implementation of the Amplitude Amplification pattern.,Amplitude Amplification
qrisp.apply_phase_if_eq,apply_phase_if_eq: Qrisp implementation of the Quantum Approximate Optimization Algorithm (QAOA) pattern.,Quantum Approximate Optimization Algorithm (QAOA)
qrisp.bessel_multiplication,bessel_multiplication: Qrisp implementation of the Hamiltonian Simulation pattern.,Hamiltonian Simulation
qrisp.compute_Li,compute_Li: Qrisp implementation of the Quantum Amplitude Estimation pattern.,Quantum Amplitude Estimation
qrisp.compute_thetas,compute_thetas: Qrisp implementation of the Quantum Amplitude Estimation pattern.,Quantum Amplitude Estimation
qrisp.create_QUBO_cl_cost_function,create_QUBO_cl_cost_function: Qrisp implementation of the Quantum Approximate Optimization Algorithm (QAOA) pattern.,Quantum Approximate Optimization Algorithm (QAOA)
qrisp.create_QUBO_cost_operator,create_QUBO_cost_operator: Qrisp implementation of the Quantum Approximate Optimization Algorithm (QAOA) pattern.,Quantum Approximate Optimization Algorithm (QAOA)
qrisp.create_coloring_cl_cost_function,create_coloring_cl_cost_function: Qrisp implementation of the Quantum Approximate Optimization Algorithm (QAOA) pattern.,Quantum Approximate Optimization Algorithm (QAOA)
qrisp.create_coloring_operator,create_coloring_operator: Qrisp implementation of the Quantum Approximate Optimization Algorithm (QAOA) pattern.,Quantum Approximate Optimization Algorithm (QAOA)
qrisp.create_cut_computer,create_cut_computer: Qrisp implementation of the Quantum Approximate Optimization Algorithm (QAOA) pattern.,Quantum Approximate Optimization Algorithm (QAOA)
qrisp.create_e3lin2_cl_cost_function,create_e3lin2_cl_cost_function: Qrisp implementation of the Quantum Approximate Optimization Algorithm (QAOA) pattern.,Quantum Approximate Optimization Algorithm (QAOA)
qrisp.create_e3lin2_cost_operator,create_e3lin2_cost_operator: Qrisp implementation of the Quantum Approximate Optimization Algorithm (QAOA) pattern.,Quantum Approximate Optimization Algorithm (QAOA)
qrisp.create_max_clique_cl_cost_function,create_max_clique_cl_cost_function: Qrisp implementation of the Quantum Approximate Optimization Algorithm (QAOA) pattern.,Quantum Approximate Optimization Algorithm (QAOA)
qrisp.create_max_indep_set_cl_cost_function,create_max_indep_set_cl_cost_function: Qrisp implementation of the Quantum Approximate Optimization Algorithm (QAOA) pattern.,Quantum Approximate Optimization Algorithm (QAOA)
qrisp.create_max_indep_set_mixer,create_max_indep_set_mixer: Qrisp implementation of the Quantum Approximate Optimization Algorithm (QAOA) pattern.,Quantum Approximate Optimization Algorithm (QAOA)
qrisp.create_maxcut_cl_cost_function,create_maxcut_cl_cost_function: Qrisp implementation of the Quantum Approximate Optimization Algorithm (QAOA) pattern.,Quantum Approximate Optimization Algorithm (QAOA)
qrisp.create_maxcut_cost_operator,create_maxcut_cost_operator: Qrisp implementation of the Quantum Approximate Optimization Algorithm (QAOA) pattern.,Quantum Approximate Optimization Algorithm (QAOA)
qrisp.create_maxcut_sample_array_post_processor,create_maxcut_sample_array_post_processor: Qrisp implementation of the Quantum Approximate Optimization Algorithm (QAOA) pattern.,Quantum Approximate Optimization Algorithm (QAOA)
qrisp.create_maxsat_cl_cost_function,create_maxsat_cl_cost_function: Qrisp implementation of the Quantum Approximate Optimization Algorithm (QAOA) pattern.,Quantum Approximate Optimization Algorithm (QAOA)
