name,summary,pattern
dynamic/Cirq/ArithmeticCell,ArithmeticCell: implementation of the Quantum Arithmetic pattern.,Quantum Arithmetic
dynamic/Cirq/ArithmeticGate,ArithmeticGate: implementation of the Quantum Arithmetic pattern.,Quantum Arithmetic
dynamic/Cirq/BayesianNetworkGate,BayesianNetworkGate: implementation of the Domain Specific Application pattern.,Domain Specific Application
dynamic/Cirq/CXPowGate,CXPowGate: implementation of the Circuit Construction Utility pattern.,Circuit Construction Utility
dynamic/Cirq/CircularShiftGate,CircularShiftGate: implementation of the Circuit Construction Utility pattern.,Circuit Construction Utility
dynamic/Cirq/CliffordTableau,CliffordTableau: implementation of the Function Table pattern.,Function Table
dynamic/Cirq/CliffordTableauSimulationState,CliffordTableauSimulationState: implementation of the Function Table pattern.,Function Table
dynamic/Cirq/DynamicalDecouplingTag,DynamicalDecouplingTag: implementation of the Dynamic Circuit pattern.,Dynamic Circuit
dynamic/Cirq/LogicalAnnotator,LogicalAnnotator: implementation of the Quantum Logical Operators pattern.,Quantum Logical Operators
dynamic/Cirq/OpIdentifier,OpIdentifier: implementation of the Quantum Logical Operators pattern.,Quantum Logical Operators
dynamic/Cirq/ParallelGate,ParallelGate: implementation of the Quantum Logical Operators pattern.,Quantum Logical Operators
dynamic/Cirq/QubitPermutationGate,QubitPermutationGate: implementation of the Circuit Construction Utility pattern.,Circuit Construction Utility
dynamic/Cirq/QuirkArithmeticGate,QuirkArithmeticGate: implementation of the Quantum Arithmetic pattern.,Quantum Arithmetic
dynamic/Cirq/QuirkQubitPermutationGate,QuirkQubitPermutationGate: implementation of the Circuit Construction Utility pattern.,Circuit Construction Utility
dynamic/Cirq/Resource,Resource: implementation of the Linear Combination of Unitaries pattern.,Linear Combination of Unitaries
dynamic/Cirq/SingleQubitGate,SingleQubitGate: implementation of the Circuit Construction Utility pattern.,Circuit Construction Utility
dynamic/Cirq/SingleQubitPauliStringGateOperation,SingleQubitPauliStringGateOperation: implementation of the Circuit Construction Utility pattern.,Circuit Construction Utility
dynamic/Cirq/SupportsActOnQubits,SupportsActOnQubits: implementation of the Quantum Logical Operators pattern.,Quantum Logical Operators
dynamic/Cirq/SupportsCircuitDiagramInfo,SupportsCircuitDiagramInfo: implementation of the Quantum Logical Operators pattern.,Quantum Logical Operators
dynamic/Cirq/SwapNetworkGate,SwapNetworkGate: implementation of the Circuit Construction Utility pattern.,Circuit Construction Utility
dynamic/Cirq/ThreeQubitGate,ThreeQubitGate: implementation of the Quantum Logical Operators pattern.,Quantum Logical Operators
dynamic/Cirq/TwoQubitGate,TwoQubitGate: implementation of the Quantum Logical Operators pattern.,Quantum Logical Operators
dynamic/Cirq/add_dynamical_decoupling,add_dynamical_decoupling: implementation of the Dynamic Circuit pattern.,Dynamic Circuit
dynamic/Cirq/basis_change,basis_change: implementation of the Basis Change pattern.,Basis Change
dynamic/Cirq/canonicalize_gates,canonicalize_gates: implementation of the Quantum Logical Operators pattern.,Quantum Logical Operators
dynamic/Cirq/circuit_to_tensors,circuit_to_tensors: implementation of the Quantum Neural Network (QNN) pattern.,Quantum Neural Network (QNN)
dynamic/Cirq/clifford_tableau,clifford_tableau: implementation of the Function Table pattern.,Function Table
dynamic/Cirq/clifford_tableau_arg_to_proto,clifford_tableau_arg_to_proto: implementation of the Function Table pattern.,Function Table
dynamic/Cirq/clifford_tableau_from_proto,clifford_tableau_from_proto: implementation of the Function Table pattern.,Function Table
dynamic/Cirq/compute_amplitudes,compute_amplitudes: implementation of the Initialization pattern.,Initialization
dynamic/Cirq/compute_amplitudes_sweep_iter,compute_amplitudes_sweep_iter: implementation of the Initialization pattern.,Initialization
dynamic/Cirq/decompose_clifford_tableau_to_operations,decompose_clifford_tableau_to_operations: implementation of the Function Table pattern.,Function Table
dynamic/Cirq/decompose_multi_controlled_rotation,decompose_multi_controlled_rotation: implementation of the Circuit Construction Utility pattern.,Circuit Construction Utility
dynamic/Cirq/decompose_once_with_qubits,decompose_once_with_qubits: implementation of the Circuit Construction Utility pattern.,Circuit Construction Utility
dynamic/Cirq/defer_measurements,defer_measurements: implementation of the Linear Combination of Unitaries pattern.,Linear Combination of Unitaries
dynamic/Cirq/error_probabilities,error_probabilities: implementation of the Circuit Construction Utility pattern.,Circuit Construction Utility
dynamic/Cirq/from_clifford_tableau,from_clifford_tableau: implementation of the Function Table pattern.,Function Table
dynamic/Cirq/generate_all_arithmetic_cell_makers,generate_all_arithmetic_cell_makers: implementation of the Quantum Arithmetic pattern.,Quantum Arithmetic
dynamic/Cirq/get_logical_acquaintance_opportunities,get_logical_acquaintance_opportunities: implementation of the Quantum Logical Operators pattern.,Quantum Logical Operators
dynamic/Cirq/get_logical_operations,get_logical_operations: implementation of the Quantum Logical Operators pattern.,Quantum Logical Operators
dynamic/Cirq/get_operations,get_operations: implementation of the Quantum Logical Operators pattern.,Quantum Logical Operators
dynamic/Cirq/int_to_logical_qid,int_to_logical_qid: implementation of the Quantum Logical Operators pattern.,Quantum Logical Operators
dynamic/Cirq/logical_qid_to_int,logical_qid_to_int: implementation of the Quantum Logical Operators pattern.,Quantum Logical Operators
dynamic/Cirq/logical_to_physical,logical_to_physical: implementation of the Quantum Logical Operators pattern.,Quantum Logical Operators
dynamic/Cirq/mapped_op,mapped_op: implementation of the Quantum Logical Operators pattern.,Quantum Logical Operators
dynamic/Cirq/physical_to_logical,physical_to_logical: implementation of the Quantum Logical Operators pattern.,Quantum Logical Operators
dynamic/Cirq/single_qubit_matrix_to_pauli_rotations,single_qubit_matrix_to_pauli_rotations: implementation of the Circuit Construction Utility pattern.,Circuit Construction Utility
dynamic/Cirq/single_qubit_matrix_to_phased_x_z,single_qubit_matrix_to_phased_x_z: implementation of the Quantum Phase Estimation (QPE) pattern.,Quantum Phase Estimation (QPE)
dynamic/Cirq/table,table: implementation of the Function Table pattern.,Function Table
dynamic/Cirq/tableau,tableau: implementation of the Function Table pattern.,Function Table
dynamic/Cirq/test_act_on_clifford_tableau,test_act_on_clifford_tableau: implementation of the Function Table pattern.,Function Table
dynamic/Cirq/test_act_on_tableau,test_act_on_tableau: implementation of the Function Table pattern.,Function Table
dynamic/Cirq/test_add_dynamical_decoupling_with_deep_context_raises_error,test_add_dynamical_decoupling_with_deep_context_raises_error: implementation of the Dynamic Circuit pattern.,Dynamic Circuit
dynamic/Cirq/test_aqt_sampler_print_resources_includes_received_resources_in_table,test_aqt_sampler_print_resources_includes_received_resources_in_table: implementation of the Function Table pattern.,Function Table
dynamic/Cirq/test_arithmetic_addition_gates,test_arithmetic_addition_gates: implementation of the Quantum Arithmetic pattern.,Quantum Arithmetic
dynamic/Cirq/test_arithmetic_comparison_gates,test_arithmetic_comparison_gates: implementation of the Quantum Arithmetic pattern.,Quantum Arithmetic
dynamic/Cirq/test_arithmetic_gate_apply_unitary,test_arithmetic_gate_apply_unitary: implementation of the Quantum Arithmetic pattern.,Quantum Arithmetic
dynamic/Cirq/test_arithmetic_modular_addition_gates,test_arithmetic_modular_addition_gates: implementation of the Quantum Arithmetic pattern.,Quantum Arithmetic
dynamic/Cirq/test_arithmetic_modular_exponentiation_gates,test_arithmetic_modular_exponentiation_gates: implementation of the Quantum Arithmetic pattern.,Quantum Arithmetic
dynamic/Cirq/test_arithmetic_modular_multiply_accumulate_gates,test_arithmetic_modular_multiply_accumulate_gates: implementation of the Quantum Arithmetic pattern.,Quantum Arithmetic
dynamic/Cirq/test_arithmetic_modular_multiply_gates,test_arithmetic_modular_multiply_gates: implementation of the Quantum Arithmetic pattern.,Quantum Arithmetic
dynamic/Cirq/test_arithmetic_multiply_accumulate_gates,test_arithmetic_multiply_accumulate_gates: implementation of the Quantum Arithmetic pattern.,Quantum Arithmetic
dynamic/Cirq/test_arithmetic_multiply_gates,test_arithmetic_multiply_gates: implementation of the Quantum Arithmetic pattern.,Quantum Arithmetic
