name,summary,pattern
/qualtran/qualtran.bloqs.arithmetic.addition.Add,An n-bit addition gate.  This computes `a + b` and stores the result in `b`. Specifically it implements $U|a\rangle|b\rangle \rightarrow |a\rangle|a+b\rangle$ using $n - 1$ Toffoli gates.  Args:     a_dtype: Quantum datatype used to represent the integer a.     b_dtype: Quantum datatype used to repr,Quantum Arithmetic
/qualtran/qualtran.bloqs.arithmetic.addition.OutOfPlaceAdder,An n-bit addition gate.  Implements $U|a\rangle|b\rangle 0\rangle \rightarrow |a\rangle|b\rangle|a+b\rangle$ using $4n - 4$ T gates. Uncomputation requires 0 T gates.  Args:     bitsize: Number of bits used to represent each input integer. The allocated output register         is of size `bitsize+1`,Quantum Arithmetic
/qualtran/qualtran.bloqs.arithmetic.addition.AddK,Takes |x> to |x + k> for a classical integer `k`.  This construction simply XORs the classical constant into a quantum register and applies quantum-quantum addition. This is the lowest T-count algorithm at the expense of $n$ auxiliary qubits. This construction also permits an inexpensive controlled ,Quantum Arithmetic
/qualtran/qualtran.bloqs.arithmetic.bitwise.XorK,Maps |x> to |x \oplus k> for a constant k.  Args:     dtype: Data type of the input register `x`.     k: The classical integer value to be XOR-ed to x.  Registers:     x: A quantum register of type `self.dtype` (see above).,Quantum Arithmetic
/qualtran/qualtran.bloqs.arithmetic.bitwise.Xor,"Xor the value of one register into another via CNOTs.  Maps basis states $|x, y\rangle$ to $|x, y \oplus x\rangle$.  When both registers are in computational basis and the destination is 0, effectively copies the value of the source into the destination.  Args:     dtype: Data type of the input regi",Quantum Arithmetic
/qualtran/qualtran.bloqs.arithmetic.bitwise.BitwiseNot,Flips every bit of the input register.  Args:     dtype: Data type of the input register `x`.  Registers:     x: A quantum register of type `self.dtype`.,Quantum Arithmetic
/qualtran/qualtran.bloqs.arithmetic.comparison.LessThanConstant,Applies $U_a\ket{x}\ket{z} \rightarrow \ket{x} \ket{z \oplus (x < a)}$,Quantum Arithmetic
/qualtran/qualtran.bloqs.arithmetic.comparison.BiQubitsMixer,Implements the COMPARE2 subroutine from the reference.  This gates mixes the values in a way that preserves the result of comparison. The registers being compared are 2-qubit registers where      x = 2*x_msb + x_lsb     y = 2*y_msb + y_lsb  The gate mixes the 4 qubits so that `sign(x - y) = sign(x_l,Quantum Arithmetic
/qualtran/qualtran.bloqs.arithmetic.comparison.SingleQubitCompare,Applies U|a>|b>|0>|0> = |a> |a=b> |(a<b)> |(a>b)>  References:     [Improved Techniques for Preparing Eigenstates of Fermionic Hamiltonians](https://arxiv.org/abs/1711.10460).     Berry et al. 2017. Appendix B. Fig 5.,Quantum Arithmetic
/qualtran/qualtran.bloqs.arithmetic.comparison.LessThanEqual,Applies $U\ket{x}\ket{y}\ket{z} \rightarrow \ket{x} \ket{y} \ket{z \oplus (x \leq y)}$  Decomposes the gate in a T-complexity optimal way.  The construction can be broken in 4 parts:  1. In case of differing bitsizes then a multicontrol And Gate     (Section III.A. of the first reference) is used to,Quantum Arithmetic
/qualtran/qualtran.bloqs.arithmetic.comparison.GreaterThan,Compare two integers.  Implements $U|a\rangle|b\rangle|0\rangle \rightarrow |a\rangle|b\rangle|a > b\rangle$ using $8n T$  gates.  The bloq_counts and t_complexity are derived from equivalent qualtran gates assuming a clean decomposition which should yield identical costs.  See: https://github.com/q,Quantum Arithmetic
/qualtran/qualtran.bloqs.arithmetic.comparison.LinearDepthGreaterThan,"Compare two integers.  Implements |a>|b>|t> => |a>|b>|t ⨁ (a > b)> using $4n$ T gates.  This comparator relies on the fact that (b' + a)' = b - a. If a > b, then b - a < 0. We implement it by flipping all the bits in b, computing the first half of the addition circuit, copying out the carry, and unc",Quantum Arithmetic
/qualtran/qualtran.bloqs.arithmetic.comparison.GreaterThanConstant,Implements $U_a|x\rangle = U_a|x\rangle|z\rangle = |x\rangle |z \land (x > a)\rangle$  The bloq_counts and t_complexity are derived from equivalent qualtran gates assuming a clean decomposition which should yield identical costs.  See: https://github.com/quantumlib/Qualtran/pull/381 and https://qual,Quantum Arithmetic
/qualtran/qualtran.bloqs.arithmetic.comparison.Equals,Implements |x>|y>|t> => |x>|y>|t ⨁ (x = y)> using $n-1$ Toffoli gates.  Args:     dtype: Data type of the input registers `x` and `y`.  Registers:     x: First input register.     y: Second input register.     target: Register to hold result of comparison.,Quantum Arithmetic
/qualtran/qualtran.bloqs.arithmetic.comparison.EqualsAConstant,Implements $U_a|x\rangle|z\rangle = |x\rangle |z \oplus (x = a)\rangle$  The bloq_counts and t_complexity are derived from: https://qualtran.readthedocs.io/en/latest/bloqs/comparison_gates.html#equality-as-a-special-case  Args:     bitsize: bitsize of x register.     val: integer to compare x agains,Quantum Arithmetic
/qualtran/qualtran.bloqs.arithmetic.comparison.CLinearDepthGreaterThan,Controlled greater than between two integers.  Implements $\ket{c}\ket{a}\ket{b}\ket{t} \xrightarrow[]{} \ket{c}\ket{a}\ket{b}\ket{t ⨁ ((a > b)c)}>$ using $n+2$ Toffoli gates.  Note: the true cost is $n+1$ but an extra Toffoli comes from OutOfPlaceAdder which operates on $n+1$ qubits rather than $n$,Quantum Arithmetic
