name;summary
/pennylane/pennylane.templates.core.AbstractArray;An abstract representation of an array that contains the shape and dtype attributes necessary for resource calculations.
/pennylane/pennylane.templates.core.SubroutineOp;An operator constructed from a :class:`~.Subroutine` together with its bound arguments. This class should not be created directly, but is the byproduct of calling a ``Subroutine``.
/pennylane/pennylane.templates.core.Subroutine;The definition of a Subroutine, compatible both with program capture and backwards compatible with operators.
/pennylane/pennylane.templates.core.CollectedSubroutine;Represents a single subroutine encountered by CollectOpsandMeas. While it contains less information than the corresponding :class:`~.SubroutineOp`, it can be useful for testing the captured plxpr.
/pennylane/pennylane.templates.embeddings.amplitude.AmplitudeEmbedding;Encodes :math:`2^n` features into the amplitude vector of :math:`n` qubits.
/pennylane/pennylane.templates.embeddings.angle.AngleEmbedding;Encodes :math:`N` features into the rotation angles of :math:`n` qubits, where :math:`N \leq n`.
/pennylane/pennylane.templates.embeddings.basis.BasisEmbedding;Encodes :math:`n` binary features into a basis state of :math:`n` qubits.
/pennylane/pennylane.templates.embeddings.displacement.DisplacementEmbedding;Encodes :math:`N` features into the displacement amplitudes :math:`r` or phases :math:`\phi` of :math:`M` modes, where :math:`N\leq M`.
/pennylane/pennylane.templates.embeddings.iqp.IQPEmbedding;Encodes :math:`n` features into :math:`n` qubits using diagonal gates of an IQP circuit.
/pennylane/pennylane.templates.embeddings.qaoaembedding.QAOAEmbedding;Encodes :math:`N` features into :math:`n>N` qubits, using a layered, trainable quantum circuit that is inspired by the QAOA ansatz proposed by `Killoran et al. (2020) <https://arxiv.org/abs/2001.03622>`_.
/pennylane/pennylane.templates.embeddings.squeezing.SqueezingEmbedding;Encodes :math:`N` features into the squeezing amplitudes :math:`r \geq 0` or phases :math:`\phi \in [0, 2\pi)` of :math:`M` modes, where :math:`N\leq M`.
/pennylane/pennylane.templates.layers.basic_entangler.BasicEntanglerLayers;Layers consisting of one-parameter single-qubit rotations on each qubit, followed by a closed chain or *ring* of CNOT gates.
/pennylane/pennylane.templates.layers.cv_neural_net.CVNeuralNetLayers;A sequence of layers of a continuous-variable quantum neural network, as specified in `Killoran et al. (2019) <https://doi.org/10.1103/PhysRevResearch.1.033063>`_.
/pennylane/pennylane.templates.layers.gate_fabric.GateFabric;Implements a local, expressive, and quantum-number-preserving ansatz proposed by `Anselmetti et al. (2021) <https://doi.org/10.1088/1367-2630/ac2cb3>`_.
/pennylane/pennylane.templates.layers.particle_conserving_u1.ParticleConservingU1;Implements the heuristic VQE ansatz for quantum chemistry simulations using the particle-conserving gate :math:`U_{1,\mathrm{ex}}` proposed by Barkoutsos *et al.* in `arXiv:1805.04340 <https://arxiv.org/abs/1805.04340>`_.
/pennylane/pennylane.templates.layers.particle_conserving_u2.ParticleConservingU2;Implements the heuristic VQE ansatz for Quantum Chemistry simulations using the particle-conserving entangler :math:`U_\mathrm{ent}(\vec{\theta}, \vec{\phi})` proposed in `arXiv:1805.04340 <https://arxiv.org/abs/1805.04340>`__.
/pennylane/pennylane.templates.layers.random.RandomLayers;Layers of randomly chosen single qubit rotations and 2-qubit entangling gates, acting on randomly chosen qubits.
/pennylane/pennylane.templates.layers.simplified_two_design.SimplifiedTwoDesign;Layers consisting of a simplified 2-design architecture of Pauli-Y rotations and controlled-Z entanglers proposed in `Cerezo et al. (2021) <https://doi.org/10.1038/s41467-021-21728-w>`_.
