name,summary,pattern
/qiskit_machine_learning/qiskit_machine_learning.neural_networks.EstimatorQNN,A quantum neural network that computes expectation values of observables as outputs and supports gradient backpropagation for variational training.,Quantum Neural Network (QNN)
/qiskit_machine_learning/qiskit_machine_learning.neural_networks.SamplerQNN,A quantum neural network that maps circuit measurement probability distributions to output values via an interpret function.,Quantum Neural Network (QNN)
/qiskit_machine_learning/qiskit_machine_learning.neural_networks.NeuralNetwork,Abstract base class for all quantum neural networks defining the forward and backward interface.,Quantum Neural Network (QNN)
/qiskit_machine_learning/qiskit_machine_learning.neural_networks.EffectiveDimension,Computes the global effective dimension of a quantum neural network as an information-geometric measure of model expressiveness.,Quantum Neural Network (QNN)
/qiskit_machine_learning/qiskit_machine_learning.neural_networks.LocalEffectiveDimension,Computes the local effective dimension of a quantum neural network around specific parameter values to measure model capacity.,Quantum Neural Network (QNN)
/qiskit_machine_learning/qiskit_machine_learning.algorithms.classifiers.NeuralNetworkClassifier,A scikit-learn-compatible quantum classifier that wraps any NeuralNetwork and trains it via a loss function for binary or multi-class classification.,Quantum Neural Network (QNN)
/qiskit_machine_learning/qiskit_machine_learning.algorithms.classifiers.VQC,Variational Quantum Classifier combining a feature map for data encoding and a parameterized ansatz circuit optimized to perform supervised classification.,Variational Quantum Algorithm (VQA)
/qiskit_machine_learning/qiskit_machine_learning.algorithms.classifiers.QSVC,Quantum Support Vector Classifier using the quantum kernel computed from fidelity between feature-map-encoded states as the SVM kernel function.,SWAP Test
/qiskit_machine_learning/qiskit_machine_learning.algorithms.classifiers.PegasosQSVC,Quantum Support Vector Classifier based on the Pegasos stochastic gradient algorithm using a quantum kernel function for improved SVM training scalability.,SWAP Test
/qiskit_machine_learning/qiskit_machine_learning.algorithms.regressors.NeuralNetworkRegressor,A scikit-learn-compatible quantum regressor that wraps any NeuralNetwork and trains it to predict continuous-valued outputs.,Quantum Neural Network (QNN)
/qiskit_machine_learning/qiskit_machine_learning.algorithms.regressors.VQR,Variational Quantum Regressor using a feature map and trainable ansatz circuit to fit continuous-valued target functions.,Variational Quantum Algorithm (VQA)
/qiskit_machine_learning/qiskit_machine_learning.algorithms.regressors.QSVR,Quantum Support Vector Regressor that uses a quantum kernel function in a classical SVR framework for regression tasks.,SWAP Test
/qiskit_machine_learning/qiskit_machine_learning.kernels.FidelityQuantumKernel,Quantum kernel computing the inner product between quantum states prepared by a feature map using the compute-uncompute (Hadamard test) fidelity method.,SWAP Test
/qiskit_machine_learning/qiskit_machine_learning.kernels.FidelityStatevectorKernel,Statevector-based quantum kernel computing exact fidelities between feature-map-encoded states for kernel machine learning.,SWAP Test
/qiskit_machine_learning/qiskit_machine_learning.kernels.TrainableFidelityQuantumKernel,A trainable quantum kernel whose feature map parameters are optimized to align the kernel with training labels combining kernel methods with variational training.,Variational Quantum Algorithm (VQA)
/qiskit_machine_learning/qiskit_machine_learning.kernels.TrainableFidelityStatevectorKernel,Statevector-based trainable quantum kernel combining exact fidelity computation with variational optimization of feature map parameters.,Variational Quantum Algorithm (VQA)
/qiskit_machine_learning/qiskit_machine_learning.kernels.algorithms.QuantumKernelTrainer,Trains a quantum kernel by optimizing its free parameters to maximize kernel-target alignment using a variational optimizer.,Variational Quantum Algorithm (VQA)
/qiskit_machine_learning/qiskit_machine_learning.circuit.library.qnn_circuit,Constructs a QNN circuit by composing a data-encoding feature map and a trainable ansatz and returns the input and weight parameters separately.,Quantum Neural Network (QNN)
/qiskit_machine_learning/qiskit_machine_learning.circuit.library.RawFeatureVector,Parameterized circuit that directly encodes a feature vector into the amplitude vector of a quantum state implementing amplitude encoding.,Data Encoding
/qiskit_machine_learning/qiskit_machine_learning.circuit.library.raw_feature_vector,Creates a parameterized amplitude encoding circuit that maps a classical feature vector into quantum amplitudes.,Data Encoding
