name,summary,pattern
/classiq/open_library.functions.amplitude_amplification.amplitude_amplification,"Applies the Amplitude Amplification algorithm; Prepares a state using the given `space_transform` function, and applies `reps` repetititions of the grover operator, using the given `oracle` functions which marks the ""good"" states.",Amplitude Amplification
/classiq/open_library.functions.amplitude_amplification.exact_amplitude_amplification,"Applies an exact version of the Amplitude Amplification algorithm, assuming knowledge of the amplitude of the marked state. The function should be applied on the zero state, and it takes care for preparing the initial state before amplification using the `space_transform`.",Amplitude Amplification
/classiq/open_library.functions.amplitude_estimation.amplitude_estimation,"Estimate the probability of a state being marked by the operand `oracle` as a ""good state. "".",Quantum Amplitude Estimation
/classiq/open_library.functions.discrete_sine_cosine_transform.qct_qst_type1,Applies the quantum discrete cosine (DCT) and sine (DST) transform of type 1 to the qubit array `x`. Corresponds to the matrix (with $n\equiv$`x.,Basis Change
/classiq/open_library.functions.discrete_sine_cosine_transform.qct_qst_type2,"Applies the quantum discrete cosine (DCT) and sine (DST) transform of type 2 to the qubit array `x` concatenated with `q`, with `q` being the MSB. Corresponds to the matrix (with $n\equiv$`x.",Basis Change
/classiq/open_library.functions.discrete_sine_cosine_transform.qct_type2,"Applies the quantum discrete cosine (DCT) transform of type 2, ${ m DCT}^{(2)}$, to the qubit array `x`.",Basis Change
/classiq/open_library.functions.discrete_sine_cosine_transform.qst_type2,"Applies the quantum discrete sine (DST) transform of type 2, ${ m DST}^{(2)}$, to the qubit array `x`.",Basis Change
/classiq/open_library.functions.grover.phase_oracle,Creates a phase oracle operator based on a predicate function.,Oracle
/classiq/open_library.functions.grover.reflect_about_zero,"Reflects the state about the |0> state (i. e.",Amplitude Amplification
/classiq/open_library.functions.grover.grover_diffuser,"Reflects the given state about the A|0> state, where A is the `space_transform` parameter. It is defined as:.",Amplitude Amplification
/classiq/open_library.functions.grover.grover_operator,"Applies the grover operator, defined by:.",Amplitude Amplification
/classiq/open_library.functions.grover.grover_search,Applies Grover search algorithm.,Grover
/classiq/open_library.functions.hea.full_hea,Implements an ansatz on a qubit array `x` with the given 1-qubit and 2-qubit operations.,Variational Quantum Algorithm (VQA)
/classiq/open_library.functions.lcu.lcu,"Implements a general linear combination of unitaries (LCU) procedure. The algorithm prepares a superposition over the `unitaries` according to `magnitudes`, and then conditionally applies each unitary controlled by the `block`.",Linear Combination of Unitaries
/classiq/open_library.functions.lcu.lcu_pauli,"Applies a linear combination of unitaries (LCU) where each unitary is a Pauli term, represented as a tensor product of Pauli operators. The function prepares a superposition over the unitaries according to the given magnitudes and phases, and applies the corresponding Pauli operators conditionally.",Linear Combination of Unitaries
