GitHub Quantum Projects Search Summary
========================================
Summary generated on: 2026-05-02 12:05:39

--- Overall Statistics ---
Total unique projects found (candidates): 666
Projects filtered out:                    590
Final projects considered for analysis:   76

--- Filtered-Out Projects ---
Repository                                                                                                  Reason for Filtering
-----------------------------------------------------------------------------------------------------------------------------------------------------
010100100101010101001110-sudo/Contained-Quantum-Conscious-Universe                                          Not enough stars (9 < 30)
0xBoji/quantum-computing-examples                                                                           Not enough stars (1 < 30)
0xReLogic/Chaos                                                                                             Not enough stars (19 < 30)
1chooo/quantum-oracle                                                                                       Not enough stars (1 < 30)
2forts/hateval-trainer                                                                                      Not enough stars (1 < 30)
4d6174686973/circuit-design                                                                                 Not enough stars (0 < 30)
abc8255/Q-Array-Multiplier                                                                                  Not enough stars (1 < 30)
abhayhegde/pyquirk                                                                                          Not enough stars (14 < 30)
Abhishektatavarthy/Quantumprojects                                                                          Not enough stars (3 < 30)
aboev/quantum-job-scheduler                                                                                 Not enough stars (3 < 30)
adamisntdead/QuSimPy                                                                                        Inactive since 2021-06-04
adelina-b/g-sim                                                                                             Not enough stars (1 < 30)
adelshb/hidden-shift-problem-on-quantum-computer                                                            Not enough stars (1 < 30)
adelshb/quantum-portfolio-optimization                                                                      Not enough stars (15 < 30)
adgt/pulsemaker                                                                                             Not enough stars (25 < 30)
AdrianLipa90/CIEL-Omega-General-Quantum-Consciousness                                                       Not enough stars (4 < 30)
AehoraDeSum/FusionWareAlttex                                                                                Not enough stars (1 < 30)
AgnostiqHQ/covalent-braket-plugin                                                                           Not enough stars (8 < 30)
AgnostiqHQ/covalent-slurm-plugin                                                                            Not enough stars (26 < 30)
ahmed19999520-alt/EQST-GP-Theory                                                                            Not enough stars (3 < 30)
ahmed19999520-alt/Veronica-X-Pro-open-source-code-2.0                                                       Not enough stars (4 < 30)
ahmedanees-m/QuBiS-HiQ                                                                                      Not enough stars (0 < 30)
AhmeedAdelMahmoud/HQECC-Threshold                                                                           Not enough stars (4 < 30)
ahmeterdempmk/Quantum-Safe-Cryptography                                                                     Not enough stars (0 < 30)
AI4Finance-Foundation/Quantum-Tensor-Networks-for-Variational-Reinforcement-Learning-NeurIPS-2020           Not enough stars (14 < 30)
AIComputing101/quantum-computing-101                                                                        Not enough stars (6 < 30)
akaiHuang/mlx-quantum-sim                                                                                   Not enough stars (1 < 30)
akaiHuang/tau-chrono                                                                                        Not enough stars (0 < 30)
albertnieto/qcml                                                                                            Not enough stars (7 < 30)
AlejandroJRosales/QuantumNeuralNetwork                                                                      Not enough stars (0 < 30)
alessandrosebastianelli/hqm                                                                                 Not enough stars (4 < 30)
Alessio20092007/small-toy                                                                                   Not enough stars (0 < 30)
Alexdruso/II2202-Research-Quantum-ML-Sanvito-Stuart                                                         Not enough stars (1 < 30)
alexg-jpg/conditional-measurements                                                                          Not enough stars (4 < 30)
alhazacod/qtom                                                                                              Not enough stars (1 < 30)
Alice-Bob-SW/qiskit-alice-bob-provider                                                                      Not enough contributors (7 < 10)
alimammadzada23/quantum-error-correction                                                                    Not enough stars (0 < 30)
alp-oz/matroid-growth                                                                                       Not enough stars (0 < 30)
Alqor-UG/qlued                                                                                              Not enough stars (2 < 30)
Alqor-UG/sqooler-example                                                                                    Not enough stars (0 < 30)
altanai/cirq_quantum_programming                                                                            Not enough stars (4 < 30)
amazon-braket/amazon-braket-examples                                                                        Excluded by Keyword 'books' in name/description
Amon20044/Quantum-Bayes-classifiers-and-their-application-in-image-classification                           Not enough stars (0 < 30)
aMorteza/Quantum-Computing-Search-Algorithms                                                                Not enough stars (3 < 30)
AmrMKayid/KayQRL                                                                                            Not enough stars (2 < 30)
andrea-dimarco/quantum-adders                                                                               Not enough stars (0 < 30)
Anish-M-code/pqcrypt                                                                                        Not enough contributors (3 < 10)
ANTHONY-OLEVESTER/quantum_unified                                                                           Not enough stars (1 < 30)
antonin-lfv/QMeans                                                                                          Not enough stars (1 < 30)
antoniomosca27/QML-qcnn-medmnist                                                                            Not enough stars (0 < 30)
anulum/scpn-quantum-control                                                                                 Not enough stars (0 < 30)
Aqasch/KANQAS_code                                                                                          Not enough stars (20 < 30)
ARJ2211/Quantum-CNN                                                                                         Not enough stars (5 < 30)
ArlineQ/arline_benchmarks                                                                                   Inactive since 2022-03-02
arnavk23/QCR-Repro                                                                                          Not enough stars (0 < 30)
artificial-brain/quantumcat                                                                                 Not enough stars (27 < 30)
aru71727/bb84_protocol                                                                                      Not enough stars (18 < 30)
aru71727/Secure-Communication-using-QKD                                                                     Not enough stars (21 < 30)
Ashad001/2Q48                                                                                               Not enough stars (1 < 30)
ashmitjsg/UnravelQuantum                                                                                    Not enough stars (6 < 30)
Athleity/QuantumLoom                                                                                        Not enough stars (1 < 30)
Aurux/quantum-tsp                                                                                           Not enough stars (1 < 30)
aw-junaid/Quantum-Mechanics                                                                                 Not enough stars (16 < 30)
awinick/touchstone                                                                                          Not enough stars (0 < 30)
azimonti/quantum-entanglement-simulation                                                                    Not enough stars (2 < 30)
Benaah/quantum-machine-learning                                                                             Not enough stars (0 < 30)
BenjaminDecker/quantum-cellular-automaton                                                                   Archived repository
bernwo/five-qubit-code                                                                                      Not enough stars (2 < 30)
bernwo/tree-cluster-states-manim                                                                            Not enough stars (4 < 30)
bestquark/mentpy                                                                                            Archived repository
bfrangi/landau-levels                                                                                       Not enough stars (1 < 30)
bfrangi/quantum-potential-barrier                                                                           Not enough stars (1 < 30)
bfrangi/resonant-tunnelling                                                                                 Not enough stars (2 < 30)
BharadwajMahanthi/Quantbiologicalwithml                                                                     Not enough stars (2 < 30)
BlodgettDavid/classical-vs-quantum-svm                                                                      Not enough stars (0 < 30)
Bmete7/QuantumNeuralNet                                                                                     Not enough stars (11 < 30)
BOHRTECHNOLOGY/public_research                                                                              Not enough stars (17 < 30)
BOHRTECHNOLOGY/quantum_tsp                                                                                  Inactive since 2019-09-14
BOHRTECHNOLOGY/yellow_submarine                                                                             Not enough stars (11 < 30)
boonespacedog/surjection-to-qec                                                                             Not enough stars (0 < 30)
BQSKit/qsearch                                                                                              Archived repository
bqth29/simulated-bifurcation-algorithm                                                                      Not enough contributors (4 < 10)
Brendan-Reid1991/dotg                                                                                       Not enough stars (1 < 30)
brianirish/qec-kiln                                                                                         Not enough stars (0 < 30)
bruh-moment-0/psm-client                                                                                    Not enough stars (1 < 30)
brunorijsman/cascade-python                                                                                 Not enough stars (25 < 30)
bsc-quantic/rosnet                                                                                          Not enough stars (5 < 30)
btq-ag/QLDPC                                                                                                Not enough stars (2 < 30)
Canoming/VariationalQCircuit                                                                                Not enough stars (1 < 30)
CarloLepelaars/skq                                                                                          Not enough stars (1 < 30)
cda-tum/mqt-qubomaker                                                                                       Archived repository
cduck/bloch_sphere                                                                                          Inactive since 2023-02-27
cduck/feynman_path                                                                                          Inactive since 2023-02-26
ceneezer/Tet-craft                                                                                          Not enough stars (4 < 30)
centralesupelec-projects/st7-quantum-computing-labs                                                         Not enough stars (0 < 30)
CERN-QTI/gqc                                                                                                Not enough stars (5 < 30)
ChaseH01/QuantumCryptanalysis-HybridDES                                                                     Not enough stars (1 < 30)
ChiShengChen/QuantumEEGNet                                                                                  Not enough stars (7 < 30)
chizuchizu/amplify-hackathon                                                                                Inactive since 2021-03-29
christopher-altman/ibm-qml-kernel                                                                           Not enough stars (7 < 30)
