name,summary,pattern
/braket/braket.experimental.algorithms.grovers_search.grovers_search,Generate Grover's search circuit for a target solution by applying an oracle and amplitude amplification steps.,Grover
/braket/braket.experimental.algorithms.grovers_search.build_oracle,Oracle circuit that marks a target solution by flipping the phase of its corresponding basis state.,Oracle
/braket/braket.experimental.algorithms.grovers_search.amplify,Perform a single iteration of amplitude amplification using the diffusion operator (H · oracle_0 · H).,Amplitude Amplification
/braket/braket.experimental.algorithms.grovers_search.multi_control_z,Multi-controlled Z gate acting as a phase-flip oracle on the all-zeros state.,Circuit Construction Utility
/braket/braket.experimental.algorithms.grovers_search.multi_control_not,Recursive multi-controlled NOT (generalized Toffoli) gate circuit constructor.,Circuit Construction Utility
/braket/braket.experimental.algorithms.quantum_phase_estimation.quantum_phase_estimation_circuit,Construct a Quantum Phase Estimation circuit with result type attached to the precision register.,Quantum Phase Estimation (QPE)
/braket/braket.experimental.algorithms.quantum_phase_estimation.quantum_phase_estimation,Subroutine implementing Quantum Phase Estimation using Hadamards on the precision register and controlled unitary applications followed by inverse QFT.,Quantum Phase Estimation (QPE)
/braket/braket.experimental.algorithms.quantum_phase_estimation.run_quantum_phase_estimation,Execute a Quantum Phase Estimation circuit on a Braket device and return the quantum task.,Quantum Phase Estimation (QPE)
/braket/braket.experimental.algorithms.quantum_phase_estimation.get_quantum_phase_estimation_results,Post-process QPE task results to extract eigenphase estimates from the measured probability distribution.,Quantum Phase Estimation (QPE)
/braket/braket.experimental.algorithms.quantum_phase_estimation.inverse_qft,Inverse Quantum Fourier Transform subroutine used in post-processing of QPE phase measurements.,Basis Change
/braket/braket.experimental.algorithms.quantum_fourier_transform.quantum_fourier_transform_circuit,"Construct a Quantum Fourier Transform circuit using Hadamard gates, controlled phase shifts, and SWAP gates.",Basis Change
/braket/braket.experimental.algorithms.quantum_fourier_transform.qft,Register a QFT as a named circuit subroutine that can be appended to any circuit.,Basis Change
/braket/braket.experimental.algorithms.quantum_fourier_transform.inverse_quantum_fourier_transform_circuit,Construct the inverse Quantum Fourier Transform circuit for converting from frequency to computational basis.,Basis Change
/braket/braket.experimental.algorithms.quantum_fourier_transform.iqft,Register the inverse QFT as a named circuit subroutine.,Basis Change
/braket/braket.experimental.algorithms.quantum_fourier_transform.run_quantum_fourier_transform,Run a Quantum Fourier Transform circuit on a Braket device and collect measurement results.,Basis Change
/braket/braket.experimental.algorithms.quantum_approximate_optimization.qaoa,"QAOA circuit template consisting of alternating cost Hamiltonian and driver Hamiltonian (mixer) layers, parameterized by gamma and beta.",Quantum Approximate Optimization Algorithm (QAOA)
/braket/braket.experimental.algorithms.quantum_approximate_optimization.cost_layer,Parameterized circuit layer implementing evolution under the cost Hamiltonian for one QAOA round.,Quantum Approximate Optimization Algorithm (QAOA)
/braket/braket.experimental.algorithms.quantum_approximate_optimization.driver_layer,Circuit layer implementing evolution under the driver (mixer) Hamiltonian U(Hb; beta) for one QAOA round.,Quantum Approximate Optimization Algorithm (QAOA)
