name,summary,pattern
canonical.lcu.LinearCombinationUnitaries,"Linear Combination of Unitaries (LCU) is a quantum algorithmic technique for implementing an operator expressed as a linear combination of unitary matrices H = sum_k alpha_k U_k. It uses a PREPARE oracle to load coefficients and a SELECT oracle to apply the unitaries conditioned on an ancilla register. LCU is foundational for Hamiltonian simulation, quantum linear systems algorithms, and quantum signal processing.",Linear Combination of Unitaries
canonical.lcu.BlockEncoding,"Block encoding embeds a non-unitary operator A into the upper-left block of a unitary matrix U such that (bra{0} tensor I) U (ket{0} tensor I) = A/alpha. Block encodings are constructed using LCU and are the input model for qubitization and quantum singular value transformation (QSVT). Used to implement Hamiltonians, density matrices, and sparse matrices as quantum circuits.",Linear Combination of Unitaries
canonical.lcu.SelectPrepare,"The SELECT-PREPARE decomposition implements a linear combination of unitaries using two oracles: PREPARE loads amplitudes sqrt(alpha_k/lambda) into an ancilla register, and SELECT applies U_k conditioned on the ancilla being in state k. Together they implement block-encoded Hamiltonians for quantum simulation and quantum chemistry energy estimation.",Linear Combination of Unitaries
canonical.lcu.GQSP,"Generalized Quantum Signal Processing (GQSP) and Quantum Signal Processing (QSP) apply polynomial transformations to block-encoded operators. Given a block encoding of A, QSP constructs a block encoding of p(A) for any polynomial p. Used in Hamiltonian simulation, linear systems, and amplitude amplification as a unified algorithmic framework.",Linear Combination of Unitaries
canonical.hamiltonian.TrotterDecomposition,"Trotterization (product formula method) approximates the time evolution operator exp(-iHt) for a Hamiltonian H = sum H_k by decomposing it into a product of simpler exponentials exp(-iH_k t). The first-order Trotter formula is exp(-iHt) ≈ prod_k exp(-iH_k t). Higher-order Suzuki-Trotter formulas reduce error. Widely used in quantum chemistry and condensed matter simulation.",Hamiltonian Simulation
canonical.hamiltonian.TimeEvolution,"Hamiltonian simulation implements the unitary time evolution operator U(t) = exp(-iHt) for a given Hamiltonian H on a quantum computer. Methods include Trotterization, qubitization, Taylor series expansion, and linear combination of unitaries. It is a core primitive in quantum algorithms for quantum chemistry, quantum field theory, and quantum optimization.",Hamiltonian Simulation
canonical.hamiltonian.QuantumChemistry,"Quantum chemistry simulation on quantum computers models molecular electronic structure by simulating the second-quantized molecular Hamiltonian H = sum_pq h_pq a†_p a_q + sum_pqrs h_pqrs a†_p a†_q a_r a_s. Jordan-Wigner or Bravyi-Kitaev transformations map fermionic operators to qubit operators. Trotterized time evolution enables calculation of ground state energies and reaction dynamics.",Hamiltonian Simulation
canonical.hamiltonian.VQEHamiltonian,"Variational simulation of Hamiltonian dynamics uses a parameterized quantum circuit (ansatz) to prepare trial states and measure expectation values of the Hamiltonian. The variational quantum eigensolver (VQE) minimizes the energy expectation value to approximate the ground state. Hamiltonian simulation primitives underpin the cost function evaluation in VQE and related variational algorithms.",Hamiltonian Simulation
canonical.qae.AmplitudeEstimation,"Quantum Amplitude Estimation (QAE) estimates the probability a = |<chi|Psi>|^2 of measuring a target state |chi> in a quantum state |Psi>. The canonical algorithm applies quantum phase estimation to the Grover operator Q = -A S0 A† Schi and achieves an estimation error of O(1/M) using M quantum samples, providing a quadratic speedup over classical Monte Carlo methods.",Quantum Amplitude Estimation
canonical.qae.IterativeQAE,"Iterative Quantum Amplitude Estimation (IQAE) estimates amplitudes without quantum phase estimation by performing multiple rounds of amplitude amplification with classically-chosen rotation angles and statistical post-processing. It uses fewer qubits than canonical QAE while maintaining the quadratic speedup over Monte Carlo sampling. Applied in derivative pricing, Monte Carlo integration, and quantum finance.",Quantum Amplitude Estimation
canonical.qae.MonteCarloQAE,"Quantum Monte Carlo integration uses amplitude estimation to evaluate integrals of the form E[f(X)] = sum_x f(x) p(x) where p(x) is a probability distribution loaded into a quantum register. The quantum speedup from O(1/epsilon^2) to O(1/epsilon) samples is relevant for numerical integration, option pricing, and risk analysis.",Quantum Amplitude Estimation
canonical.qaoa.VariationalOptimization,"The Quantum Approximate Optimization Algorithm (QAOA) solves combinatorial optimization problems by alternating between a problem-specific cost Hamiltonian and a mixing Hamiltonian. Given p layers, QAOA applies U_C(gamma_1) U_B(beta_1) ... U_C(gamma_p) U_B(beta_p) to an initial superposition state. Parameters gamma and beta are classically optimized to minimize the expected cost.",Quantum Approximate Optimization Algorithm (QAOA)
canonical.qaoa.MaxCut,"MaxCut QAOA implements the Quantum Approximate Optimization Algorithm for the Maximum Cut graph partitioning problem. The cost Hamiltonian penalizes edges with both endpoints in the same partition. QAOA circuits for MaxCut alternate between cost operator exp(-i*gamma*H_C) and mixer operator exp(-i*beta*H_B) with H_B = sum_j X_j. Achieves approximation ratios above the Goemans-Williamson bound at sufficient circuit depth.",Quantum Approximate Optimization Algorithm (QAOA)
canonical.qaoa.CostMixer,"QAOA requires two circuit components: the cost operator that encodes the problem objective, and the mixer operator that induces transitions between feasible states. The standard mixer is a transverse field sum_j X_j. Constrained mixers enforce feasibility constraints by acting only within the feasible subspace, improving performance on constrained optimization problems like portfolio optimization and graph coloring.",Quantum Approximate Optimization Algorithm (QAOA)
canonical.entanglement.BellState,"Bell states are maximally entangled two-qubit states: |Phi+> = (|00> + |11>)/sqrt(2), |Phi-> = (|00> - |11>)/sqrt(2), |Psi+> = (|01> + |10>)/sqrt(2), |Psi-> = (|01> - |10>)/sqrt(2). They are created by applying a Hadamard gate followed by a CNOT gate and serve as the fundamental resource for quantum teleportation, superdense coding, and quantum key distribution.",Creating Entanglement
canonical.entanglement.GHZState,"GHZ (Greenberger-Horne-Zeilinger) states are maximally entangled multi-qubit states of the form (|00...0> + |11...1>)/sqrt(2). They are prepared by applying a Hadamard to one qubit followed by a chain of CNOT gates. GHZ states are used for quantum error correction, quantum secret sharing, and demonstrations of multi-party nonlocality.",Creating Entanglement
canonical.entanglement.EntanglementGeneration,"Entanglement generation circuits create quantum correlations between qubits using two-qubit gates such as CNOT, CZ, and iSWAP. Common entangling circuit patterns include hardware-efficient ansatze for variational algorithms, quantum error correcting code encoding circuits, and graph state preparation using controlled-Z gates applied according to an adjacency matrix.",Creating Entanglement
