name,summary,pattern
/qiskit-algorithms/qiskit_algorithms.amplitude_amplifiers.amplification_problem.AmplificationProblem,"The amplification problem is the input to amplitude amplification algorithms, like Grover.",Amplitude Amplification
/qiskit-algorithms/qiskit_algorithms.amplitude_amplifiers.amplitude_amplifier.AmplitudeAmplifier,The interface for amplification algorithms.,Amplitude Amplification
/qiskit-algorithms/qiskit_algorithms.amplitude_amplifiers.grover.Grover,Grover's Search algorithm.,Grover
/qiskit-algorithms/qiskit_algorithms.amplitude_estimators.ae.AmplitudeEstimation,The Quantum Phase Estimation-based Amplitude Estimation algorithm.,Quantum Amplitude Estimation
/qiskit-algorithms/qiskit_algorithms.amplitude_estimators.amplitude_estimator.AmplitudeEstimator,The Amplitude Estimation interface.,Quantum Amplitude Estimation
/qiskit-algorithms/qiskit_algorithms.amplitude_estimators.estimation_problem.EstimationProblem,The estimation problem is the input to amplitude estimation algorithm.,Quantum Amplitude Estimation
/qiskit-algorithms/qiskit_algorithms.amplitude_estimators.fae.FasterAmplitudeEstimation,The Faster Amplitude Estimation algorithm.,Quantum Amplitude Estimation
/qiskit-algorithms/qiskit_algorithms.amplitude_estimators.iae.IterativeAmplitudeEstimation,The Iterative Amplitude Estimation algorithm.,Quantum Amplitude Estimation
/qiskit-algorithms/qiskit_algorithms.amplitude_estimators.mlae.MaximumLikelihoodAmplitudeEstimation,The Maximum Likelihood Amplitude Estimation algorithm.,Quantum Amplitude Estimation
/qiskit-algorithms/qiskit_algorithms.eigensolvers.eigensolver.Eigensolver,The eigensolver interface.,Variational Quantum Algorithm (VQA)
/qiskit-algorithms/qiskit_algorithms.eigensolvers.vqd.VQD,The Variational Quantum Deflation algorithm. Implementation using primitives.,Variational Quantum Algorithm (VQA)
/qiskit-algorithms/qiskit_algorithms.minimum_eigensolvers.adapt_vqe.TerminationCriterion,A class enumerating the various finishing criteria.,Variational Quantum Eigensolver (VQE)
/qiskit-algorithms/qiskit_algorithms.minimum_eigensolvers.adapt_vqe.AdaptVQE,The Adaptive Variational Quantum Eigensolver algorithm.,Variational Quantum Eigensolver (VQE)
/qiskit-algorithms/qiskit_algorithms.minimum_eigensolvers.minimum_eigensolver.MinimumEigensolver,The minimum eigensolver interface.,Variational Quantum Eigensolver (VQE)
/qiskit-algorithms/qiskit_algorithms.minimum_eigensolvers.qaoa.QAOA,The Quantum Approximate Optimization Algorithm (QAOA).,Quantum Approximate Optimization Algorithm (QAOA)
/qiskit-algorithms/qiskit_algorithms.minimum_eigensolvers.sampling_mes.SamplingMinimumEigensolver,The Sampling Minimum Eigensolver Interface.,Variational Quantum Eigensolver (VQE)
/qiskit-algorithms/qiskit_algorithms.minimum_eigensolvers.sampling_vqe.SamplingVQE,"The Variational Quantum Eigensolver algorithm, optimized for diagonal Hamiltonians.",Variational Quantum Eigensolver (VQE)
/qiskit-algorithms/qiskit_algorithms.minimum_eigensolvers.vqe.VQE,The Variational Quantum Eigensolver (VQE) algorithm.,Variational Quantum Eigensolver (VQE)
/qiskit-algorithms/qiskit_algorithms.phase_estimators.hamiltonian_phase_estimation.HamiltonianPhaseEstimation,Run the Quantum Phase Estimation algorithm to find the eigenvalues of a Hermitian operator.,Quantum Phase Estimation (QPE)
/qiskit-algorithms/qiskit_algorithms.phase_estimators.ipe.IterativePhaseEstimation,Run the Iterative quantum phase estimation (QPE) algorithm.,Quantum Phase Estimation (QPE)
/qiskit-algorithms/qiskit_algorithms.phase_estimators.phase_estimation.PhaseEstimation,Run the Quantum Phase Estimation (QPE) algorithm.,Quantum Phase Estimation (QPE)
/qiskit-algorithms/qiskit_algorithms.phase_estimators.phase_estimation_scale.PhaseEstimationScale,Set and use a bound on eigenvalues of a Hermitian operator in order to ensure phases are in the desired range and to convert measured phases into eigenvectors.,Quantum Phase Estimation (QPE)
/qiskit-algorithms/qiskit_algorithms.phase_estimators.phase_estimator.PhaseEstimator,The Phase Estimator interface.,Quantum Phase Estimation (QPE)
/qiskit-algorithms/qiskit_algorithms.state_fidelities.base_state_fidelity.BaseStateFidelity,"An interface to calculate state fidelities (state overlaps) for pairs of (parametrized) quantum circuits. The calculation depends on the particular fidelity method implementation, but can be always defined as the state overlap:",SWAP Test
/qiskit-algorithms/qiskit_algorithms.state_fidelities.compute_uncompute.ComputeUncompute,This class leverages the sampler primitive to calculate the state fidelity of two quantum circuits following the compute-uncompute method (see [1] for further reference). The fidelity can be defined as the state overlap.,SWAP Test
/qiskit-algorithms/qiskit_algorithms.time_evolvers.imaginary_time_evolver.ImaginaryTimeEvolver,Interface for Quantum Imaginary Time Evolution.,Variational Quantum Algorithm (VQA)
/qiskit-algorithms/qiskit_algorithms.time_evolvers.pvqd.pvqd.PVQD,The projected Variational Quantum Dynamics (p-VQD) Algorithm.,Variational Quantum Algorithm (VQA)
/qiskit-algorithms/qiskit_algorithms.time_evolvers.real_time_evolver.RealTimeEvolver,Interface for Quantum Real Time Evolution.,Variational Quantum Algorithm (VQA)
